score,source,target
12.98,/workshop-files//080507 - new prison welcomed.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
13.21,/workshop-files//Waitangi day Atawhai opening.doc,/workshop-files//dhb changes draft.doc
13.21,/workshop-files//Geographical Indications 04.DOC,/workshop-files//dhb changes draft.doc
13.21,/workshop-files//Geographical Indications 04.DOC,/workshop-files//election date.doc
13.44,/workshop-files//kiwisaver amendment.doc,/workshop-files//Geographical Indications 04.DOC
13.67,/workshop-files//NZ music a hit in New Yorkl.doc,/workshop-files//taiwan national day.doc
13.67,/workshop-files//Waitangi day Atawhai opening.doc,/workshop-files//dhb changes.doc
14.12,/workshop-files//aircare 23nov2005.doc,/workshop-files//election date.doc
14.12,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc",/workshop-files//NZ Music Month quiz answers 2006.doc
14.35,/workshop-files//aircare 23nov2005.doc,/workshop-files//stalactites.doc
14.58,/workshop-files//zero tertiary fees.doc,/workshop-files//aircare 23nov2005.doc
14.58,/workshop-files//aircare 23nov2005.doc,/workshop-files//kiwisaver amendment.doc
14.81,/workshop-files//zero tertiary fees.doc,/workshop-files//Waitangi day Atawhai opening.doc
14.81,/workshop-files//aircare 23nov2005.doc,/workshop-files//taiwan national day.doc
15.03,/workshop-files//belgrave.doc,/workshop-files//Geographical Indications 04.DOC
15.26,/workshop-files//zero tertiary fees.doc,/workshop-files//Suter Art Gallery .doc
15.95,/workshop-files//zero tertiary fees.doc,/workshop-files//Geographical Indications 04.DOC
15.95,/workshop-files//aircare 23nov2005.doc,/workshop-files//dhb changes draft.doc
15.95,/workshop-files//Geographical Indications 04.DOC,/workshop-files//taiwan national day.doc
16.40,/workshop-files//aircare 23nov2005.doc,/workshop-files//belgrave.doc
20.05,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk,/workshop-files//Arts Pasifika Awards 2007 .doc
20.27,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//dhb changes.doc
23.46,/workshop-files//Grey Power Manawatu 15 July.doc,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
24.15,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//election date.doc
24.15,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//mccarthyism.doc
24.60,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//kiwisaver amendment.doc
25.06,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//080507 - new prison welcomed.doc
25.28,/workshop-files//Suter Art Gallery .doc,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
25.74,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//stalactites.doc
26.20,/workshop-files//belgrave.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
26.20,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//dhb changes draft.doc
26.42,/workshop-files//Arts Pasifika Awards 2007 .doc,/workshop-files//NZ Music Month quiz answers 2006.doc
26.65,/workshop-files//Backup of Ruataniwha speech 2.wbk,/workshop-files//NZ Music Month quiz answers 2006.doc
26.65,/workshop-files//Grey Power Manawatu 15 July.doc,/workshop-files//key reaction.doc
27.11,/workshop-files//Otago Heritage Seminar 10Oct02.doc,/workshop-files//taiwan national day.doc
27.79,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
28.70,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//mccarthyism.doc
28.93,/workshop-files//zero tertiary fees.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
28.93,/workshop-files//OSC brief copingwithoutcar 7Jul05.doc,/workshop-files//080507 - new prison welcomed.doc
