score,source,target
494,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//mccarthyism.doc
70,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Sarjeant gallery.doc
76,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//NZSafetyAwards15Aug.doc
225,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//supreme court.doc
556,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//080507 - new prison welcomed.doc
443,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//kiwisaver amendment.doc
130,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//Geographical Indications 04.DOC
435,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//taiwan national day.doc
506,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//NZ Music Month quiz answers 2006.doc
458,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//dhb changes.doc
439,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//dhb changes draft.doc
455,/workshop-files//Tui NZ music awards 10May02.doc,/workshop-files//election date.doc
109,/workshop-files//Bike regs.doc,/workshop-files//NZ music a hit in New Yorkl.doc
657,/workshop-files//Bike regs.doc,/workshop-files//Suter Art Gallery .doc
658,/workshop-files//Bike regs.doc,/workshop-files//Backup of Ruataniwha speech 2.wbk
468,/workshop-files//Bike regs.doc,/workshop-files//belgrave.doc
491,/workshop-files//Bike regs.doc,/workshop-files//Backup of NZ Music Month quiz answers 2006.wbk
195,/workshop-files//Bike regs.doc,/workshop-files//Otago Heritage Seminar 10Oct02.doc
527,/workshop-files//Bike regs.doc,/workshop-files//Grey Power Manawatu 15 July.doc
95,/workshop-files//Bike regs.doc,/workshop-files//aircare 24nov2005.doc
135,/workshop-files//Bike regs.doc,/workshop-files//te papa 05.doc
669,/workshop-files//Bike regs.doc,/workshop-files//Speech notes - Fishermen's Daughters 2008.doc
76,/workshop-files//Bike regs.doc,/workshop-files//Auckland roading projects start 21Nov03.doc
239,/workshop-files//Bike regs.doc,/workshop-files//air nz future.doc
561,/workshop-files//Bike regs.doc,"/workshop-files//081308 - Study shows, auckland packed with entrepreneurs.doc"
475,/workshop-files//Bike regs.doc,/workshop-files//stalactites.doc
461,/workshop-files//Bike regs.doc,/workshop-files//key reaction.doc
653,/workshop-files//Bike regs.doc,/workshop-files//Arts Pasifika Awards 2007 .doc
66,/workshop-files//Bike regs.doc,/workshop-files//New NZSO CEO 8May02.doc
74,/workshop-files//Bike regs.doc,/workshop-files//Sargent gallery.doc
655,/workshop-files//Bike regs.doc,/workshop-files//Waitangi day Atawhai opening.doc
465,/workshop-files//Bike regs.doc,/workshop-files//mccarthyism.doc
67,/workshop-files//Bike regs.doc,/workshop-files//Sarjeant gallery.doc
59,/workshop-files//Bike regs.doc,/workshop-files//NZSafetyAwards15Aug.doc
245,/workshop-files//Bike regs.doc,/workshop-files//supreme court.doc
562,/workshop-files//Bike regs.doc,/workshop-files//080507 - new prison welcomed.doc
475,/workshop-files//Bike regs.doc,/workshop-files//kiwisaver amendment.doc
122,/workshop-files//Bike regs.doc,/workshop-files//Geographical Indications 04.DOC
439,/workshop-files//Bike regs.doc,/workshop-files//taiwan national day.doc
